Date,Death,Latitude,Longitude,Recovered,States,Total Cases,Active
2020-04-23,3,23.6102,85.2799,8,Jharkhand,49,38
2020-04-23,17,15.3173,75.7139,131,Karnataka,427,279
2020-04-23,3,10.8505,76.2711,323,Kerala,438,112
2020-04-23,0,34.2996,78.2932,14,Ladakh,18,4
2020-04-23,80,22.9734,78.6569,148,Madhya Pradesh,1592,1364
2020-04-23,269,19.7515,75.7139,789,Maharashtra,5652,4594
2020-04-23,0,24.6637,93.9063,2,Manipur,2,0
2020-04-23,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-23,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-23,1,20.9517,85.0985,32,Odisha,83,50
2020-04-23,0,11.9416,79.8083,3,Puducherry,7,4
2020-04-23,16,31.1471,75.3412,49,Punjab,251,186
2020-04-23,27,27.0238,74.2179,230,Rajasthan,1890,1633
2020-04-23,18,11.1271,78.6569,662,Tamil Nadu,1629,949
2020-04-23,23,18.1124,79.0193,194,Telengana,945,728
2020-04-23,0,23.9408,91.9882,1,Tripura,2,1
2020-04-23,21,26.8467,80.9462,173,Uttar Pradesh,1449,1255
2020-04-23,0,30.0668,79.0193,23,Uttarakhand,46,23
2020-04-23,15,22.9868,87.855,79,West Bengal,456,362
2020-04-24,0,11.7401,92.6586,11,Andaman and Nicobar Islands,22,11
2020-04-24,29,15.9129,79.74,145,Andhra Pradesh,955,781
2020-04-24,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-24,1,26.2006,92.9376,19,Assam,36,16
2020-04-24,2,25.0961,85.3131,46,Bihar,176,128
2020-04-24,0,30.7333,76.7794,14,Chandigarh,27,13
2020-04-24,0,21.2787,81.8661,28,Chhattisgarh,36,8
2020-04-24,50,28.7041,77.1025,808,Delhi,2376,1518
2020-04-24,0,15.2993,74.124,7,Goa,7,0
2020-04-24,112,22.2587,71.1924,258,Gujarat,2624,2254
2020-04-24,3,29.0588,76.0856,156,Haryana,272,113
2020-04-24,1,31.1048,77.1734,18,Himachal Pradesh,40,21
2020-04-24,5,33.7782,76.5762,92,Jammu and Kashmir,427,330
2020-04-24,3,23.6102,85.2799,8,Jharkhand,55,44
2020-04-24,18,15.3173,75.7139,150,Karnataka,463,295
2020-04-24,3,10.8505,76.2711,324,Kerala,448,121
2020-04-24,0,34.2996,78.2932,14,Ladakh,18,4
2020-04-24,83,22.9734,78.6569,203,Madhya Pradesh,1852,1566
2020-04-24,283,19.7515,75.7139,840,Maharashtra,6430,5307
2020-04-24,0,24.6637,93.9063,2,Manipur,2,0
2020-04-24,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-24,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-24,1,20.9517,85.0985,33,Odisha,90,56
2020-04-24,0,11.9416,79.8083,3,Puducherry,7,4
2020-04-24,16,31.1471,75.3412,65,Punjab,277,196
2020-04-24,27,27.0238,74.2179,230,Rajasthan,1964,1707
2020-04-24,20,11.1271,78.6569,752,Tamil Nadu,1683,911
2020-04-24,26,18.1124,79.0193,253,Telengana,984,705
2020-04-24,0,23.9408,91.9882,1,Tripura,2,1
2020-04-24,24,26.8467,80.9462,206,Uttar Pradesh,1604,1374
2020-04-24,0,30.0668,79.0193,24,Uttarakhand,47,23
2020-04-24,15,22.9868,87.855,103,West Bengal,514,396
2020-04-25,0,11.7401,92.6586,11,Andaman and Nicobar Islands,27,16
2020-04-25,29,15.9129,79.74,145,Andhra Pradesh,955,781
2020-04-25,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-25,1,26.2006,92.9376,19,Assam,36,16
2020-04-25,2,25.0961,85.3131,46,Bihar,223,175
2020-04-25,0,30.7333,76.7794,14,Chandigarh,27,13
2020-04-25,0,21.2787,81.8661,30,Chhattisgarh,36,6
2020-04-25,53,28.7041,77.1025,857,Delhi,2514,1604
2020-04-25,0,15.2993,74.124,7,Goa,7,0
2020-04-25,127,22.2587,71.1924,265,Gujarat,2815,2423
2020-04-25,3,29.0588,76.0856,156,Haryana,272,113
2020-04-25,1,31.1048,77.1734,18,Himachal Pradesh,40,21
2020-04-25,5,33.7782,76.5762,109,Jammu and Kashmir,454,340
2020-04-25,3,23.6102,85.2799,8,Jharkhand,57,46
2020-04-25,18,15.3173,75.7139,152,Karnataka,474,304
2020-04-25,3,10.8505,76.2711,331,Kerala,450,116
2020-04-25,0,34.2996,78.2932,14,Ladakh,20,6
2020-04-25,92,22.9734,78.6569,210,Madhya Pradesh,1852,1550
2020-04-25,301,19.7515,75.7139,840,Maharashtra,6817,5676
2020-04-25,0,24.6637,93.9063,2,Manipur,2,0
2020-04-25,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-25,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-25,1,20.9517,85.0985,33,Odisha,94,60
2020-04-25,0,11.9416,79.8083,3,Puducherry,7,4
2020-04-25,17,31.1471,75.3412,67,Punjab,298,214
2020-04-25,27,27.0238,74.2179,230,Rajasthan,2034,1777
2020-04-25,22,11.1271,78.6569,866,Tamil Nadu,1755,867
2020-04-25,26,18.1124,79.0193,253,Telengana,984,705
2020-04-25,0,23.9408,91.9882,1,Tripura,2,1
2020-04-25,25,26.8467,80.9462,247,Uttar Pradesh,1621,1349
2020-04-25,0,30.0668,79.0193,25,Uttarakhand,48,23
2020-04-25,18,22.9868,87.855,103,West Bengal,571,450
2020-04-26,0,11.7401,92.6586,11,Andaman and Nicobar Islands,33,22
2020-04-26,31,15.9129,79.74,171,Andhra Pradesh,1061,859
2020-04-26,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-26,1,26.2006,92.9376,19,Assam,36,16
2020-04-26,2,25.0961,85.3131,46,Bihar,243,195
2020-04-26,0,30.7333,76.7794,15,Chandigarh,28,13
2020-04-26,0,21.2787,81.8661,32,Chhattisgarh,37,5
2020-04-26,54,28.7041,77.1025,869,Delhi,2625,1702
2020-04-26,0,15.2993,74.124,7,Goa,7,0
2020-04-26,133,22.2587,71.1924,282,Gujarat,3071,2656
2020-04-26,3,29.0588,76.0856,176,Haryana,289,110
2020-04-26,1,31.1048,77.1734,22,Himachal Pradesh,40,17
2020-04-26,6,33.7782,76.5762,112,Jammu and Kashmir,494,376
2020-04-26,3,23.6102,85.2799,13,Jharkhand,67,51
2020-04-26,18,15.3173,75.7139,158,Karnataka,500,324
2020-04-26,4,10.8505,76.2711,338,Kerala,457,115
2020-04-26,0,34.2996,78.2932,14,Ladakh,20,6
2020-04-26,99,22.9734,78.6569,210,Madhya Pradesh,2096,1787
2020-04-26,323,19.7515,75.7139,1076,Maharashtra,7628,6229
2020-04-26,0,24.6637,93.9063,2,Manipur,2,0
2020-04-26,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-26,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-26,1,20.9517,85.0985,33,Odisha,94,60
2020-04-26,0,11.9416,79.8083,3,Puducherry,7,4
2020-04-26,17,31.1471,75.3412,67,Punjab,298,214
2020-04-26,33,27.0238,74.2179,493,Rajasthan,2083,1557
2020-04-26,23,11.1271,78.6569,960,Tamil Nadu,1821,838
2020-04-26,26,18.1124,79.0193,280,Telengana,991,685
2020-04-26,0,23.9408,91.9882,2,Tripura,2,0
2020-04-26,0,30.0668,79.0193,26,Uttarakhand,48,22
2020-04-27,0,11.7401,92.6586,11,Andaman and Nicobar Islands,33,22
2020-04-27,31,15.9129,79.74,231,Andhra Pradesh,1097,835
2020-04-27,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-27,1,26.2006,92.9376,27,Assam,36,8
2020-04-27,2,25.0961,85.3131,56,Bihar,274,216
2020-04-27,0,30.7333,76.7794,17,Chandigarh,30,13
2020-04-27,0,21.2787,81.8661,32,Chhattisgarh,37,5
2020-04-27,54,28.7041,77.1025,877,Delhi,2918,1987
2020-04-27,0,15.2993,74.124,7,Goa,7,0
2020-04-27,151,22.2587,71.1924,313,Gujarat,3301,2837
2020-04-27,3,29.0588,76.0856,176,Haryana,289,110
2020-04-27,1,31.1048,77.1734,22,Himachal Pradesh,40,17
2020-04-27,6,33.7782,76.5762,137,Jammu and Kashmir,523,380
2020-04-27,3,23.6102,85.2799,13,Jharkhand,82,66
2020-04-27,19,15.3173,75.7139,182,Karnataka,503,302
2020-04-27,4,10.8505,76.2711,338,Kerala,458,116
2020-04-27,0,34.2996,78.2932,14,Ladakh,20,6
2020-04-27,103,22.9734,78.6569,302,Madhya Pradesh,2096,1691
2020-04-27,342,19.7515,75.7139,1076,Maharashtra,8068,6650
2020-04-27,0,24.6637,93.9063,2,Manipur,2,0
2020-04-27,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-27,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-27,1,20.9517,85.0985,35,Odisha,103,67
2020-04-27,0,11.9416,79.8083,3,Puducherry,7,4
2020-04-27,18,31.1471,75.3412,71,Punjab,313,224
2020-04-27,33,27.0238,74.2179,518,Rajasthan,2185,1634
2020-04-27,24,11.1271,78.6569,1020,Tamil Nadu,1885,841
2020-04-27,26,18.1124,79.0193,280,Telengana,1002,696
2020-04-27,0,23.9408,91.9882,2,Tripura,2,0
2020-04-27,29,26.8467,80.9462,289,Uttar Pradesh,1868,1550
2020-04-27,0,30.0668,79.0193,28,Uttarakhand,50,22
2020-04-27,20,22.9868,87.855,105,West Bengal,649,524
2020-04-28,0,11.7401,92.6586,11,Andaman and Nicobar Islands,33,22
2020-04-28,31,15.9129,79.74,235,Andhra Pradesh,1183,917
2020-04-28,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-28,1,26.2006,92.9376,27,Assam,36,8
2020-04-28,2,25.0961,85.3131,57,Bihar,345,286
2020-04-28,0,30.7333,76.7794,17,Chandigarh,40,23
2020-04-28,0,21.2787,81.8661,32,Chhattisgarh,37,5
2020-04-28,54,28.7041,77.1025,877,Delhi,3108,2177
2020-04-28,0,15.2993,74.124,7,Goa,7,0
2020-04-28,162,22.2587,71.1924,394,Gujarat,3548,2992
2020-04-28,3,29.0588,76.0856,183,Haryana,296,110
2020-04-28,1,31.1048,77.1734,22,Himachal Pradesh,40,17
2020-04-28,7,33.7782,76.5762,164,Jammu and Kashmir,546,375
2020-04-28,3,23.6102,85.2799,13,Jharkhand,82,66
2020-04-28,20,15.3173,75.7139,193,Karnataka,512,299
2020-04-28,4,10.8505,76.2711,355,Kerala,481,122
2020-04-28,0,34.2996,78.2932,14,Ladakh,20,6
2020-04-28,110,22.9734,78.6569,302,Madhya Pradesh,2168,1756
2020-04-28,369,19.7515,75.7139,1282,Maharashtra,8590,6939
2020-04-28,0,24.6637,93.9063,2,Manipur,2,0
2020-04-28,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-28,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-28,1,20.9517,85.0985,37,Odisha,118,80
2020-04-28,0,11.9416,79.8083,3,Puducherry,8,5
2020-04-28,18,31.1471,75.3412,71,Punjab,313,224
2020-04-28,46,27.0238,74.2179,669,Rajasthan,2262,1547
2020-04-28,24,11.1271,78.6569,1101,Tamil Nadu,1937,812
2020-04-28,26,18.1124,79.0193,321,Telengana,1004,657
2020-04-28,0,23.9408,91.9882,2,Tripura,2,0
2020-04-28,31,26.8467,80.9462,335,Uttar Pradesh,1955,1589
2020-04-28,0,30.0668,79.0193,33,Uttarakhand,51,18
2020-04-28,20,22.9868,87.855,109,West Bengal,697,568
2020-04-29,0,11.7401,92.6586,15,Andaman and Nicobar Islands,33,18
2020-04-29,31,15.9129,79.74,258,Andhra Pradesh,1259,970
2020-04-29,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-29,1,26.2006,92.9376,27,Assam,38,10
2020-04-29,2,25.0961,85.3131,64,Bihar,366,300
2020-04-29,0,30.7333,76.7794,17,Chandigarh,56,39
2020-04-29,0,21.2787,81.8661,34,Chhattisgarh,38,4
2020-04-29,54,28.7041,77.1025,1078,Delhi,3314,2182
2020-04-29,0,15.2993,74.124,7,Goa,7,0
2020-04-29,181,22.2587,71.1924,434,Gujarat,3744,3129
2020-04-29,3,29.0588,76.0856,209,Haryana,310,98
2020-04-29,1,31.1048,77.1734,25,Himachal Pradesh,40,14
2020-04-29,8,33.7782,76.5762,176,Jammu and Kashmir,565,381
2020-04-29,3,23.6102,85.2799,17,Jharkhand,103,83
2020-04-29,20,15.3173,75.7139,207,Karnataka,523,296
2020-04-29,4,10.8505,76.2711,359,Kerala,485,122
2020-04-29,0,34.2996,78.2932,16,Ladakh,22,6
2020-04-29,120,22.9734,78.6569,377,Madhya Pradesh,2387,1890
2020-04-29,400,19.7515,75.7139,1388,Maharashtra,9318,7530
2020-04-29,0,24.6637,93.9063,2,Manipur,2,0
2020-04-29,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-29,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-29,1,20.9517,85.0985,38,Odisha,118,79
2020-04-29,0,11.9416,79.8083,3,Puducherry,8,5
2020-04-29,19,31.1471,75.3412,71,Punjab,322,232
2020-04-29,51,27.0238,74.2179,768,Rajasthan,2364,1545
2020-04-29,25,11.1271,78.6569,1168,Tamil Nadu,2058,865
2020-04-29,26,18.1124,79.0193,321,Telengana,1004,657
2020-04-29,0,23.9408,91.9882,2,Tripura,2,0
2020-04-29,34,26.8467,80.9462,462,Uttar Pradesh,2053,1557
2020-04-29,0,30.0668,79.0193,33,Uttarakhand,54,21
2020-04-29,22,22.9868,87.855,119,West Bengal,725,584
2020-04-30,0,11.7401,92.6586,15,Andaman and Nicobar Islands,33,18
2020-04-30,31,15.9129,79.74,287,Andhra Pradesh,1332,1014
2020-04-30,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-04-30,1,26.2006,92.9376,29,Assam,38,8
2020-04-30,2,25.0961,85.3131,65,Bihar,392,325
2020-04-30,0,30.7333,76.7794,17,Chandigarh,56,39
2020-04-30,0,21.2787,81.8661,34,Chhattisgarh,38,4
2020-04-30,56,28.7041,77.1025,1092,Delhi,3439,2291
2020-04-30,0,15.2993,74.124,7,Goa,7,0
2020-04-30,197,22.2587,71.1924,527,Gujarat,4082,3358
2020-04-30,3,29.0588,76.0856,209,Haryana,310,98
2020-04-30,1,31.1048,77.1734,25,Himachal Pradesh,40,14
2020-04-30,8,33.7782,76.5762,192,Jammu and Kashmir,581,381
2020-04-30,3,23.6102,85.2799,19,Jharkhand,107,85
2020-04-30,21,15.3173,75.7139,216,Karnataka,535,298
2020-04-30,4,10.8505,76.2711,369,Kerala,495,122
2020-04-30,0,34.2996,78.2932,16,Ladakh,22,6
2020-04-30,129,22.9734,78.6569,461,Madhya Pradesh,2561,1971
2020-04-30,432,19.7515,75.7139,1593,Maharashtra,9915,7890
2020-04-30,0,24.6637,93.9063,2,Manipur,2,0
2020-04-30,1,25.467,91.3662,0,Meghalaya,12,11
2020-04-30,0,23.1645,92.9376,0,Mizoram,1,1
2020-04-30,1,20.9517,85.0985,39,Odisha,125,85
2020-04-30,0,11.9416,79.8083,3,Puducherry,8,5
2020-04-30,19,31.1471,75.3412,90,Punjab,357,248
2020-04-30,51,27.0238,74.2179,768,Rajasthan,2438,1619
2020-04-30,27,11.1271,78.6569,1210,Tamil Nadu,2162,925
2020-04-30,26,18.1124,79.0193,367,Telengana,1012,619
2020-04-30,0,23.9408,91.9882,2,Tripura,2,0
2020-04-30,39,26.8467,80.9462,510,Uttar Pradesh,2134,1585
2020-04-30,0,30.0668,79.0193,36,Uttarakhand,55,19
2020-04-30,22,22.9868,87.855,124,West Bengal,758,612
2020-05-01,0,11.7401,92.6586,16,Andaman and Nicobar Islands,33,17
2020-05-01,31,15.9129,79.74,321,Andhra Pradesh,1403,1051
2020-05-01,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-05-01,1,26.2006,92.9376,29,Assam,42,12
2020-05-01,2,25.0961,85.3131,82,Bihar,418,334
2020-05-01,0,30.7333,76.7794,17,Chandigarh,56,39
2020-05-01,0,21.2787,81.8661,36,Chhattisgarh,40,4
2020-05-01,59,28.7041,77.1025,1094,Delhi,3515,2362
2020-05-01,0,15.2993,74.124,7,Goa,7,0
2020-05-01,214,22.2587,71.1924,613,Gujarat,4395,3568
2020-05-01,3,29.0588,76.0856,209,Haryana,313,101
2020-05-01,1,31.1048,77.1734,28,Himachal Pradesh,40,11
2020-05-01,8,33.7782,76.5762,216,Jammu and Kashmir,614,390
2020-05-01,3,23.6102,85.2799,20,Jharkhand,109,86
2020-05-01,21,15.3173,75.7139,229,Karnataka,565,315
2020-05-01,4,10.8505,76.2711,383,Kerala,497,110
2020-05-01,0,34.2996,78.2932,16,Ladakh,22,6
2020-05-01,137,22.9734,78.6569,482,Madhya Pradesh,2660,2041
2020-05-01,459,19.7515,75.7139,1773,Maharashtra,10498,8266
2020-05-01,0,24.6637,93.9063,2,Manipur,2,0
2020-05-01,1,25.467,91.3662,0,Meghalaya,12,11
2020-05-01,0,23.1645,92.9376,0,Mizoram,1,1
2020-05-01,1,20.9517,85.0985,39,Odisha,142,102
2020-05-01,0,11.9416,79.8083,5,Puducherry,8,3
2020-05-01,19,31.1471,75.3412,90,Punjab,357,248
2020-05-01,58,27.0238,74.2179,836,Rajasthan,2584,1690
2020-05-01,27,11.1271,78.6569,1258,Tamil Nadu,2323,1038
2020-05-01,26,18.1124,79.0193,397,Telengana,1038,615
2020-05-01,0,23.9408,91.9882,2,Tripura,2,0
2020-05-01,39,26.8467,80.9462,513,Uttar Pradesh,2203,1651
2020-05-01,0,30.0668,79.0193,36,Uttarakhand,57,21
2020-05-01,33,22.9868,87.855,139,West Bengal,795,623
2020-05-02,0,11.7401,92.6586,16,Andaman and Nicobar Islands,33,17
2020-05-02,33,15.9129,79.74,403,Andhra Pradesh,1463,1027
2020-05-02,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-05-02,1,26.2006,92.9376,32,Assam,43,10
2020-05-02,3,25.0961,85.3131,98,Bihar,471,370
2020-05-02,0,30.7333,76.7794,17,Chandigarh,88,71
2020-05-02,0,21.2787,81.8661,36,Chhattisgarh,43,7
2020-05-02,61,28.7041,77.1025,1167,Delhi,3738,2510
2020-05-02,0,15.2993,74.124,7,Goa,7,0
2020-05-02,236,22.2587,71.1924,735,Gujarat,4721,3750
2020-05-02,4,29.0588,76.0856,227,Haryana,360,129
2020-05-02,1,31.1048,77.1734,30,Himachal Pradesh,40,9
2020-05-02,8,33.7782,76.5762,247,Jammu and Kashmir,639,384
2020-05-02,3,23.6102,85.2799,20,Jharkhand,111,88
2020-05-02,22,15.3173,75.7139,251,Karnataka,589,316
2020-05-02,4,10.8505,76.2711,392,Kerala,497,101
2020-05-02,0,34.2996,78.2932,17,Ladakh,22,5
2020-05-02,145,22.9734,78.6569,524,Madhya Pradesh,2719,2050
2020-05-02,485,19.7515,75.7139,1879,Maharashtra,11506,9142
2020-05-02,0,24.6637,93.9063,2,Manipur,2,0
2020-05-02,1,25.467,91.3662,0,Meghalaya,12,11
2020-05-02,0,23.1645,92.9376,0,Mizoram,1,1
2020-05-02,1,20.9517,85.0985,55,Odisha,149,93
2020-05-02,0,11.9416,79.8083,5,Puducherry,8,3
2020-05-02,19,31.1471,75.3412,90,Punjab,480,371
2020-05-02,62,27.0238,74.2179,1116,Rajasthan,2666,1488
2020-05-02,28,11.1271,78.6569,1312,Tamil Nadu,2526,1186
2020-05-02,26,18.1124,79.0193,441,Telengana,1039,572
2020-05-02,0,23.9408,91.9882,2,Tripura,2,0
2020-05-02,42,26.8467,80.9462,654,Uttar Pradesh,2328,1632
2020-05-02,0,30.0668,79.0193,36,Uttarakhand,58,22
2020-05-02,33,22.9868,87.855,139,West Bengal,795,623
2020-05-03,0,11.7401,92.6586,16,Andaman and Nicobar Islands,33,17
2020-05-03,33,15.9129,79.74,441,Andhra Pradesh,1525,1051
2020-05-03,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-05-03,1,26.2006,92.9376,32,Assam,43,10
2020-05-03,4,25.0961,85.3131,107,Bihar,481,370
2020-05-03,0,30.7333,76.7794,17,Chandigarh,88,71
2020-05-03,0,21.2787,81.8661,36,Chhattisgarh,43,7
2020-05-03,64,28.7041,77.1025,1256,Delhi,4122,2802
2020-05-03,0,15.2993,74.124,7,Goa,7,0
2020-05-03,262,22.2587,71.1924,896,Gujarat,5054,3896
2020-05-03,4,29.0588,76.0856,227,Haryana,360,129
2020-05-03,1,31.1048,77.1734,33,Himachal Pradesh,40,6
2020-05-03,8,33.7782,76.5762,254,Jammu and Kashmir,666,404
2020-05-03,3,23.6102,85.2799,22,Jharkhand,115,90
2020-05-03,25,15.3173,75.7139,271,Karnataka,601,305
2020-05-03,4,10.8505,76.2711,400,Kerala,499,95
2020-05-03,0,34.2996,78.2932,17,Ladakh,22,5
2020-05-03,151,22.9734,78.6569,624,Madhya Pradesh,2846,2071
2020-05-03,521,19.7515,75.7139,2000,Maharashtra,12296,9775
2020-05-03,0,24.6637,93.9063,2,Manipur,2,0
2020-05-03,1,25.467,91.3662,0,Meghalaya,12,11
2020-05-03,0,23.1645,92.9376,0,Mizoram,1,1
2020-05-03,1,20.9517,85.0985,56,Odisha,157,100
2020-05-03,0,11.9416,79.8083,5,Puducherry,8,3
2020-05-03,20,31.1471,75.3412,112,Punjab,772,640
2020-05-03,65,27.0238,74.2179,1121,Rajasthan,2770,1584
2020-05-03,29,11.1271,78.6569,1341,Tamil Nadu,2757,1387
2020-05-03,28,18.1124,79.0193,458,Telengana,1063,577
2020-05-03,0,23.9408,91.9882,2,Tripura,4,2
2020-05-03,43,26.8467,80.9462,689,Uttar Pradesh,2487,1755
2020-05-03,0,30.0668,79.0193,39,Uttarakhand,59,20
2020-05-03,33,22.9868,87.855,151,West Bengal,922,738
2020-05-04,0,11.7401,92.6586,32,Andaman and Nicobar Islands,33,1
2020-05-04,33,15.9129,79.74,488,Andhra Pradesh,1583,1062
2020-05-04,0,28.218000000000004,94.7278,1,Arunachal Pradesh,1,0
2020-05-04,1,26.2006,92.9376,32,Assam,43,10
2020-05-04,4,25.0961,85.3131,125,Bihar,503,374
2020-05-04,0,30.7333,76.7794,19,Chandigarh,94,75
2020-05-04,0,21.2787,81.8661,36,Chhattisgarh,57,21
2020-05-04,64,28.7041,77.1025,1362,Delhi,4549,3123
2020-05-04,0,15.2993,74.124,7,Goa,7,0
2020-05-04,290,22.2587,71.1924,1042,Gujarat,5428,4096
2020-05-04,5,29.0588,76.0856,245,Haryana,442,192
2020-05-04,1,31.1048,77.1734,34,Himachal Pradesh,40,5
2020-05-04,8,33.7782,76.5762,287,Jammu and Kashmir,701,406
